path,participant_id,sequence_id,sign
parquets/1119008007.parquet,8,1119008007,¿Cuándo?
parquets/1117007018.parquet,7,1117007018,¿Cómo?
parquets/1046005003.parquet,5,1046005003,caramelo
parquets/1085007015.parquet,7,1085007015,h
parquets/1002003001.parquet,3,1002003001,rojo
parquets/1036008003.parquet,8,1036008003,música
parquets/1011003005.parquet,3,1011003005,hijo
parquets/1031009002.parquet,9,1031009002,desayuno
parquets/1077007016.parquet,7,1077007016,facultad
parquets/1005006002.parquet,6,1005006002,brillante
parquets/1063005002.parquet,5,1063005002,dar
parquets/1044005004.parquet,5,1044005004,arroz
parquets/1126007013.parquet,7,1126007013,Córdoba
parquets/1081007017.parquet,7,1081007017,d
parquets/1046009005.parquet,9,1046009005,caramelo
parquets/1103007002.parquet,7,1103007002,x
parquets/1084007007.parquet,7,1084007007,g
parquets/1069007016.parquet,7,1069007016,deporte
parquets/1083007003.parquet,7,1083007003,f
parquets/1126008016.parquet,8,1126008016,Córdoba
parquets/1004005004.parquet,5,1004005004,amarillo
parquets/1019003005.parquet,3,1019003005,amargo
parquets/1056010002.parquet,10,1056010002,ayuda
parquets/1021001003.parquet,1,1021001003,leche
parquets/1041004005.parquet,4,1041004005,perfume
parquets/1047001004.parquet,1,1047001004,chicle
parquets/1097007003.parquet,7,1097007003,r
parquets/1119007006.parquet,7,1119007006,¿Cuándo?
parquets/1072008019.parquet,8,1072008019,otoño
parquets/1073008012.parquet,8,1073008012,primavera
parquets/1098007012.parquet,7,1098007012,s
parquets/1035010003.parquet,10,1035010003,moneda
parquets/1120007013.parquet,7,1120007013,¿Dónde?
parquets/1001009001.parquet,9,1001009001,opaco
parquets/1049002005.parquet,2,1049002005,yogurt
parquets/1082007005.parquet,7,1082007005,e
parquets/1049005003.parquet,5,1049005003,yogurt
parquets/1016010004.parquet,10,1016010004,aprender
parquets/1010003001.parquet,3,1010003001,enemigo
parquets/1120007015.parquet,7,1120007015,¿Dónde?
parquets/1111008011.parquet,8,1111008011,información
parquets/1040005003.parquet,5,1040005003,paciencia
parquets/1030004003.parquet,4,1030004003,cumpleaños
parquets/1043002001.parquet,2,1043002001,trampa
parquets/1045004004.parquet,4,1045004004,asado
parquets/1016002002.parquet,2,1016002002,aprender
parquets/1011006005.parquet,6,1011006005,hijo
parquets/1118007020.parquet,7,1118007020,¿Quien?
parquets/1036010002.parquet,10,1036010002,música
parquets/1053007003.parquet,7,1053007003,aparecer
parquets/1061004003.parquet,4,1061004003,correr
parquets/1054007005.parquet,7,1054007005,aterrizar
parquets/1072007015.parquet,7,1072007015,otoño
parquets/1105007002.parquet,7,1105007002,z
parquets/1065007014.parquet,7,1065007014,estudiar
parquets/1043007001.parquet,7,1043007001,trampa
parquets/1023003004.parquet,3,1023003004,comida
parquets/1084007001.parquet,7,1084007001,g
parquets/1023006004.parquet,6,1023006004,comida
parquets/1054004004.parquet,4,1054004004,aterrizar
parquets/1067007014.parquet,7,1067007014,ingeniería
parquets/1126007006.parquet,7,1126007006,Córdoba
parquets/1073008010.parquet,8,1073008010,primavera
parquets/1010001005.parquet,1,1010001005,enemigo
parquets/1048004004.parquet,4,1048004004,fideos
parquets/1067008004.parquet,8,1067008004,ingeniería
parquets/1082007019.parquet,7,1082007019,e
parquets/1028004001.parquet,4,1028004001,donde
parquets/1122007015.parquet,7,1122007015,biología
parquets/1018001004.parquet,1,1018001004,espumadora
parquets/1009003005.parquet,3,1009003005,mujeres
parquets/1065007004.parquet,7,1065007004,estudiar
parquets/1001001002.parquet,1,1001001002,opaco
parquets/1018006003.parquet,6,1018006003,espumadora
parquets/1018007001.parquet,7,1018007001,espumadora
parquets/1096007006.parquet,7,1096007006,q
parquets/1031003002.parquet,3,1031003002,desayuno
parquets/1022008003.parquet,8,1022008003,agua
parquets/1016006001.parquet,6,1016006001,aprender
parquets/1005009001.parquet,9,1005009001,brillante
parquets/1071007010.parquet,7,1071007010,verano
parquets/1030006002.parquet,6,1030006002,cumpleaños
parquets/1107007001.parquet,7,1107007001,profesor
parquets/1042006004.parquet,6,1042006004,sordo
parquets/1006006004.parquet,6,1006006004,celeste
parquets/1116008015.parquet,8,1116008015,DNI
parquets/1107007014.parquet,7,1107007014,profesor
parquets/1004010002.parquet,10,1004010002,amarillo
parquets/1006002002.parquet,2,1006002002,celeste
parquets/1119007001.parquet,7,1119007001,¿Cuándo?
parquets/1100007007.parquet,7,1100007007,u
parquets/1052009002.parquet,9,1052009002,apagar
parquets/1039010002.parquet,10,1039010002,nombre
parquets/1061009004.parquet,9,1061009004,correr
parquets/1061007001.parquet,7,1061007001,correr
parquets/1053006004.parquet,6,1053006004,aparecer
parquets/1125007016.parquet,7,1125007016,pregunta
parquets/1044002001.parquet,2,1044002001,arroz
parquets/1112008017.parquet,8,1112008017,intérprete
parquets/1055009001.parquet,9,1055009001,atrapar
parquets/1044006005.parquet,6,1044006005,arroz
parquets/1012007001.parquet,7,1012007001,hombre
parquets/1043009004.parquet,9,1043009004,trampa
parquets/1053006005.parquet,6,1053006005,aparecer
parquets/1116008001.parquet,8,1116008001,DNI
parquets/1044008005.parquet,8,1044008005,arroz
parquets/1120007002.parquet,7,1120007002,¿Dónde?
parquets/1035005004.parquet,5,1035005004,moneda
parquets/1015006002.parquet,6,1015006002,nacer
parquets/1077007008.parquet,7,1077007008,facultad
parquets/1019005002.parquet,5,1019005002,amargo
parquets/1086007011.parquet,7,1086007011,i
parquets/1035007001.parquet,7,1035007001,moneda
parquets/1050002005.parquet,2,1050002005,aceptar
parquets/1056004002.parquet,4,1056004002,ayuda
parquets/1043001001.parquet,1,1043001001,trampa
parquets/1042009004.parquet,9,1042009004,sordo
parquets/1063008004.parquet,8,1063008004,dar
parquets/1038009001.parquet,9,1038009001,nada
parquets/1017002005.parquet,2,1017002005,llamar
parquets/1116008003.parquet,8,1116008003,DNI
parquets/1124008019.parquet,8,1124008019,duda
parquets/1101007004.parquet,7,1101007004,v
parquets/1066007010.parquet,7,1066007010,exámen
parquets/1054003004.parquet,3,1054003004,aterrizar
parquets/1046002001.parquet,2,1046002001,caramelo
parquets/1115008008.parquet,8,1115008008,repetí
parquets/1007007004.parquet,7,1007007004,colores
parquets/1001010001.parquet,10,1001010001,opaco
parquets/1050010005.parquet,10,1050010005,aceptar
parquets/1080007006.parquet,7,1080007006,c
parquets/1007005002.parquet,5,1007005002,colores
parquets/1116008002.parquet,8,1116008002,DNI
parquets/1122007011.parquet,7,1122007011,biología
parquets/1107008007.parquet,8,1107008007,profesor
parquets/1010006002.parquet,6,1010006002,enemigo
parquets/1099007015.parquet,7,1099007015,t
parquets/1037004003.parquet,4,1037004003,nave
parquets/1057007003.parquet,7,1057007003,nailar
parquets/1044001001.parquet,1,1044001001,arroz
parquets/1029010003.parquet,10,1029010003,burla
parquets/1001006003.parquet,6,1001006003,opaco
parquets/1025008004.parquet,8,1025008004,uruguay
parquets/1068008013.parquet,8,1068008013,biblioteca
parquets/1094007005.parquet,7,1094007005,o
parquets/1101007008.parquet,7,1101007008,v
parquets/1072008010.parquet,8,1072008010,otoño
parquets/1024005001.parquet,5,1024005001,argentina
parquets/1002003003.parquet,3,1002003003,rojo
parquets/1035007002.parquet,7,1035007002,moneda
parquets/1106007015.parquet,7,1106007015,ch
parquets/1053002001.parquet,2,1053002001,aparecer
parquets/1032001004.parquet,1,1032001004,foto
parquets/1061001003.parquet,1,1061001003,correr
parquets/1062004001.parquet,4,1062004001,darse cuenta
parquets/1039002001.parquet,2,1039002001,nombre
parquets/1023002003.parquet,2,1023002003,comida
parquets/1024007005.parquet,7,1024007005,argentina
parquets/1003004001.parquet,4,1003004001,verde
parquets/1061006002.parquet,6,1061006002,correr
parquets/1045005001.parquet,5,1045005001,asado
parquets/1046003005.parquet,3,1046003005,caramelo
parquets/1088007012.parquet,7,1088007012,k
parquets/1075008020.parquet,8,1075008020,ingreso
parquets/1115008018.parquet,8,1115008018,repetí
parquets/1112008011.parquet,8,1112008011,intérprete
parquets/1073007016.parquet,7,1073007016,primavera
parquets/1072007017.parquet,7,1072007017,otoño
parquets/1115007003.parquet,7,1115007003,repetí
parquets/1033009002.parquet,9,1033009002,hambre
parquets/1025001002.parquet,1,1025001002,uruguay
parquets/1111008015.parquet,8,1111008015,información
parquets/1061004001.parquet,4,1061004001,correr
parquets/1027006002.parquet,6,1027006002,apellido
parquets/1061009005.parquet,9,1061009005,correr
parquets/1011009003.parquet,9,1011009003,hijo
parquets/1108008013.parquet,8,1108008013,certificado
parquets/1035007005.parquet,7,1035007005,moneda
parquets/1018007004.parquet,7,1018007004,espumadora
parquets/1116007001.parquet,7,1116007001,DNI
parquets/1059009005.parquet,9,1059009005,comprar
parquets/1029007005.parquet,7,1029007005,burla
parquets/1079007008.parquet,7,1079007008,b
parquets/1049007004.parquet,7,1049007004,yogurt
parquets/1039007004.parquet,7,1039007004,nombre
parquets/1080007018.parquet,7,1080007018,c
parquets/1013008003.parquet,8,1013008003,lejos
parquets/1105007003.parquet,7,1105007003,z
parquets/1004009004.parquet,9,1004009004,amarillo
parquets/1031009004.parquet,9,1031009004,desayuno
parquets/1074007013.parquet,7,1074007013,trabajar
parquets/1113008009.parquet,8,1113008009,lengua de señas
parquets/1092007002.parquet,7,1092007002,n
parquets/1001009002.parquet,9,1001009002,opaco
parquets/1059010005.parquet,10,1059010005,comprar
parquets/1028003003.parquet,3,1028003003,donde
parquets/1059001002.parquet,1,1059001002,comprar
parquets/1051009004.parquet,9,1051009004,gracias
parquets/1118007016.parquet,7,1118007016,¿Quien?
parquets/1056007001.parquet,7,1056007001,ayuda
parquets/1114008017.parquet,8,1114008017,¿Hay?/¿Tiene?
parquets/1028007001.parquet,7,1028007001,donde
parquets/1075007009.parquet,7,1075007009,ingreso
parquets/1110007001.parquet,7,1110007001,inscripción
parquets/1021002001.parquet,2,1021002001,leche
parquets/1111008005.parquet,8,1111008005,información
parquets/1066007014.parquet,7,1066007014,exámen
parquets/1062007002.parquet,7,1062007002,darse cuenta
parquets/1051002003.parquet,2,1051002003,gracias
parquets/1119007003.parquet,7,1119007003,¿Cuándo?
parquets/1064002001.parquet,2,1064002001,encontrar
parquets/1045006002.parquet,6,1045006002,asado
parquets/1070008011.parquet,8,1070008011,invierno
parquets/1046010004.parquet,10,1046010004,caramelo
parquets/1039001003.parquet,1,1039001003,nombre
parquets/1037002004.parquet,2,1037002004,nave
parquets/1025006002.parquet,6,1025006002,uruguay
parquets/1118008012.parquet,8,1118008012,¿Quien?
parquets/1075008011.parquet,8,1075008011,ingreso
parquets/1051001002.parquet,1,1051001002,gracias
parquets/1055005001.parquet,5,1055005001,atrapar
parquets/1116007004.parquet,7,1116007004,DNI
parquets/1057004002.parquet,4,1057004002,nailar
parquets/1076007014.parquet,7,1076007014,universidad
parquets/1108008005.parquet,8,1108008005,certificado
parquets/1111008013.parquet,8,1111008013,información
parquets/1012007004.parquet,7,1012007004,hombre
parquets/1110008017.parquet,8,1110008017,inscripción
parquets/1069008015.parquet,8,1069008015,deporte
parquets/1035004001.parquet,4,1035004001,moneda
parquets/1011006004.parquet,6,1011006004,hijo
parquets/1009002002.parquet,2,1009002002,mujeres
parquets/1038004004.parquet,4,1038004004,nada
parquets/1071007012.parquet,7,1071007012,verano
parquets/1068007015.parquet,7,1068007015,biblioteca
parquets/1019007001.parquet,7,1019007001,amargo
parquets/1003003001.parquet,3,1003003001,verde
parquets/1089007005.parquet,7,1089007005,l
parquets/1008005003.parquet,5,1008005003,rosa
parquets/1110008015.parquet,8,1110008015,inscripción
parquets/1077007011.parquet,7,1077007011,facultad
parquets/1070007017.parquet,7,1070007017,invierno
parquets/1034002005.parquet,2,1034002005,mapa
parquets/1047010005.parquet,10,1047010005,chicle
parquets/1063009002.parquet,9,1063009002,dar
parquets/1061005003.parquet,5,1061005003,correr
parquets/1003004002.parquet,4,1003004002,verde
parquets/1117007019.parquet,7,1117007019,¿Cómo?
parquets/1069007017.parquet,7,1069007017,deporte
parquets/1043001004.parquet,1,1043001004,trampa
parquets/1046010002.parquet,10,1046010002,caramelo
parquets/1050003003.parquet,3,1050003003,aceptar
parquets/1124008017.parquet,8,1124008017,duda
parquets/1007008001.parquet,8,1007008001,colores
parquets/1107007002.parquet,7,1107007002,profesor
parquets/1125008012.parquet,8,1125008012,pregunta
parquets/1014002005.parquet,2,1014002005,cajón
parquets/1119007013.parquet,7,1119007013,¿Cuándo?
parquets/1077007018.parquet,7,1077007018,facultad
parquets/1073007009.parquet,7,1073007009,primavera
parquets/1067007004.parquet,7,1067007004,ingeniería
parquets/1053010002.parquet,10,1053010002,aparecer
parquets/1019005001.parquet,5,1019005001,amargo
parquets/1022006001.parquet,6,1022006001,agua
parquets/1087007008.parquet,7,1087007008,j
parquets/1008010001.parquet,10,1008010001,rosa
parquets/1012010002.parquet,10,1012010002,hombre
parquets/1118007015.parquet,7,1118007015,¿Quien?
parquets/1066008016.parquet,8,1066008016,exámen
parquets/1008010003.parquet,10,1008010003,rosa
parquets/1082007007.parquet,7,1082007007,e
parquets/1048003002.parquet,3,1048003002,fideos
parquets/1047010001.parquet,10,1047010001,chicle
parquets/1090007018.parquet,7,1090007018,ll
parquets/1070007005.parquet,7,1070007005,invierno
parquets/1078007014.parquet,7,1078007014,a
parquets/1062005005.parquet,5,1062005005,darse cuenta
parquets/1054005002.parquet,5,1054005002,aterrizar
parquets/1105007017.parquet,7,1105007017,z
parquets/1017008004.parquet,8,1017008004,llamar
parquets/1012003005.parquet,3,1012003005,hombre
parquets/1012007002.parquet,7,1012007002,hombre
parquets/1123008017.parquet,8,1123008017,yo
parquets/1073007017.parquet,7,1073007017,primavera
parquets/1065007015.parquet,7,1065007015,estudiar
parquets/1090007020.parquet,7,1090007020,ll
parquets/1113008015.parquet,8,1113008015,lengua de señas
parquets/1102007005.parquet,7,1102007005,w
parquets/1028009001.parquet,9,1028009001,donde
parquets/1116008012.parquet,8,1116008012,DNI
parquets/1015009002.parquet,9,1015009002,nacer
parquets/1069008012.parquet,8,1069008012,deporte
parquets/1122008002.parquet,8,1122008002,biología
parquets/1089007007.parquet,7,1089007007,l
parquets/1023008003.parquet,8,1023008003,comida
parquets/1040009004.parquet,9,1040009004,paciencia
parquets/1004002002.parquet,2,1004002002,amarillo
parquets/1005003002.parquet,3,1005003002,brillante
parquets/1051008002.parquet,8,1051008002,gracias
parquets/1031004005.parquet,4,1031004005,desayuno
parquets/1052010003.parquet,10,1052010003,apagar
parquets/1002009001.parquet,9,1002009001,rojo
parquets/1117008006.parquet,8,1117008006,¿Cómo?
parquets/1074008020.parquet,8,1074008020,trabajar
parquets/1012004001.parquet,4,1012004001,hombre
parquets/1084007003.parquet,7,1084007003,g
parquets/1025001004.parquet,1,1025001004,uruguay
parquets/1046010005.parquet,10,1046010005,caramelo
parquets/1061005004.parquet,5,1061005004,correr
parquets/1074007003.parquet,7,1074007003,trabajar
parquets/1016003002.parquet,3,1016003002,aprender
parquets/1035001003.parquet,1,1035001003,moneda
parquets/1124007005.parquet,7,1124007005,duda
parquets/1114007006.parquet,7,1114007006,¿Hay?/¿Tiene?
parquets/1040004001.parquet,4,1040004001,paciencia
parquets/1053007002.parquet,7,1053007002,aparecer
parquets/1062006005.parquet,6,1062006005,darse cuenta
parquets/1079007014.parquet,7,1079007014,b
parquets/1053001002.parquet,1,1053001002,aparecer
parquets/1114008014.parquet,8,1114008014,¿Hay?/¿Tiene?
parquets/1008002002.parquet,2,1008002002,rosa
parquets/1076008008.parquet,8,1076008008,universidad
parquets/1009002001.parquet,2,1009002001,mujeres
parquets/1036008002.parquet,8,1036008002,música
parquets/1068007005.parquet,7,1068007005,biblioteca
parquets/1053003002.parquet,3,1053003002,aparecer
parquets/1039004003.parquet,4,1039004003,nombre
parquets/1068007007.parquet,7,1068007007,biblioteca
parquets/1020008004.parquet,8,1020008004,dulce de leche
parquets/1076007004.parquet,7,1076007004,universidad
parquets/1120008005.parquet,8,1120008005,¿Dónde?
parquets/1019008005.parquet,8,1019008005,amargo
parquets/1025004001.parquet,4,1025004001,uruguay
parquets/1103007013.parquet,7,1103007013,x
parquets/1024002004.parquet,2,1024002004,argentina
parquets/1002007002.parquet,7,1002007002,rojo
parquets/1011005004.parquet,5,1011005004,hijo
parquets/1060002002.parquet,2,1060002002,copiar
parquets/1024010001.parquet,10,1024010001,argentina
parquets/1006007002.parquet,7,1006007002,celeste
parquets/1118007018.parquet,7,1118007018,¿Quien?
parquets/1063002002.parquet,2,1063002002,dar
parquets/1073008002.parquet,8,1073008002,primavera
parquets/1014007004.parquet,7,1014007004,cajón
parquets/1120007014.parquet,7,1120007014,¿Dónde?
parquets/1022005001.parquet,5,1022005001,agua
parquets/1083007010.parquet,7,1083007010,f
parquets/1025003003.parquet,3,1025003003,uruguay
parquets/1055010003.parquet,10,1055010003,atrapar
parquets/1022009001.parquet,9,1022009001,agua
parquets/1001004003.parquet,4,1001004003,opaco
parquets/1067008003.parquet,8,1067008003,ingeniería
parquets/1029005002.parquet,5,1029005002,burla
parquets/1002006002.parquet,6,1002006002,rojo
parquets/1022003002.parquet,3,1022003002,agua
parquets/1001006001.parquet,6,1001006001,opaco
parquets/1001003005.parquet,3,1001003005,opaco
parquets/1072008012.parquet,8,1072008012,otoño
parquets/1052008005.parquet,8,1052008005,apagar
parquets/1052006002.parquet,6,1052006002,apagar
parquets/1114008016.parquet,8,1114008016,¿Hay?/¿Tiene?
parquets/1063001001.parquet,1,1063001001,dar
parquets/1052010002.parquet,10,1052010002,apagar
parquets/1060002001.parquet,2,1060002001,copiar
parquets/1068008020.parquet,8,1068008020,biblioteca
parquets/1074008019.parquet,8,1074008019,trabajar
parquets/1070007003.parquet,7,1070007003,invierno
parquets/1006005001.parquet,5,1006005001,celeste
parquets/1062008001.parquet,8,1062008001,darse cuenta
parquets/1060005003.parquet,5,1060005003,copiar
parquets/1066007008.parquet,7,1066007008,exámen
parquets/1024007003.parquet,7,1024007003,argentina
parquets/1015010003.parquet,10,1015010003,nacer
parquets/1059008004.parquet,8,1059008004,comprar
parquets/1101007003.parquet,7,1101007003,v
parquets/1003005005.parquet,5,1003005005,verde
parquets/1021003005.parquet,3,1021003005,leche
parquets/1024009003.parquet,9,1024009003,argentina
parquets/1022003003.parquet,3,1022003003,agua
parquets/1041005002.parquet,5,1041005002,perfume
parquets/1064002005.parquet,2,1064002005,encontrar
parquets/1072008008.parquet,8,1072008008,otoño
parquets/1118007019.parquet,7,1118007019,¿Quien?
parquets/1029009003.parquet,9,1029009003,burla
parquets/1015009003.parquet,9,1015009003,nacer
parquets/1101007009.parquet,7,1101007009,v
parquets/1042006005.parquet,6,1042006005,sordo
parquets/1042008003.parquet,8,1042008003,sordo
parquets/1061003005.parquet,3,1061003005,correr
parquets/1027010004.parquet,10,1027010004,apellido
parquets/1124008015.parquet,8,1124008015,duda
parquets/1054003001.parquet,3,1054003001,aterrizar
parquets/1094007008.parquet,7,1094007008,o
parquets/1104007010.parquet,7,1104007010,y
parquets/1116008010.parquet,8,1116008010,DNI
parquets/1032009005.parquet,9,1032009005,foto
parquets/1022002004.parquet,2,1022002004,agua
parquets/1072007003.parquet,7,1072007003,otoño
parquets/1042010003.parquet,10,1042010003,sordo
parquets/1108007003.parquet,7,1108007003,certificado
parquets/1011008001.parquet,8,1011008001,hijo
parquets/1039010003.parquet,10,1039010003,nombre
parquets/1118007017.parquet,7,1118007017,¿Quien?
parquets/1060008001.parquet,8,1060008001,copiar
parquets/1066008014.parquet,8,1066008014,exámen
parquets/1110008009.parquet,8,1110008009,inscripción
parquets/1018009001.parquet,9,1018009001,espumadora
parquets/1051001004.parquet,1,1051001004,gracias
parquets/1066008017.parquet,8,1066008017,exámen
parquets/1104007003.parquet,7,1104007003,y
parquets/1125008013.parquet,8,1125008013,pregunta
parquets/1093007001.parquet,7,1093007001,ñ
parquets/1014008001.parquet,8,1014008001,cajón
parquets/1040005001.parquet,5,1040005001,paciencia
parquets/1109007012.parquet,7,1109007012,firma
parquets/1083007020.parquet,7,1083007020,f
parquets/1059002005.parquet,2,1059002005,comprar
parquets/1023008002.parquet,8,1023008002,comida
parquets/1060003005.parquet,3,1060003005,copiar
parquets/1004002003.parquet,2,1004002003,amarillo
parquets/1118008020.parquet,8,1118008020,¿Quien?
parquets/1041010005.parquet,10,1041010005,perfume
parquets/1003004005.parquet,4,1003004005,verde
parquets/1005004003.parquet,4,1005004003,brillante
parquets/1032007003.parquet,7,1032007003,foto
parquets/1114007005.parquet,7,1114007005,¿Hay?/¿Tiene?
parquets/1080007015.parquet,7,1080007015,c
parquets/1112007020.parquet,7,1112007020,intérprete
parquets/1061004002.parquet,4,1061004002,correr
parquets/1033001004.parquet,1,1033001004,hambre
parquets/1052003005.parquet,3,1052003005,apagar
parquets/1064006003.parquet,6,1064006003,encontrar
parquets/1125008019.parquet,8,1125008019,pregunta
parquets/1072008003.parquet,8,1072008003,otoño
parquets/1110008018.parquet,8,1110008018,inscripción
parquets/1123007001.parquet,7,1123007001,yo
parquets/1048001002.parquet,1,1048001002,fideos
parquets/1016007002.parquet,7,1016007002,aprender
parquets/1057002005.parquet,2,1057002005,nailar
parquets/1003006004.parquet,6,1003006004,verde
parquets/1018004001.parquet,4,1018004001,espumadora
parquets/1033003003.parquet,3,1033003003,hambre
parquets/1058010004.parquet,10,1058010004,bañarse
parquets/1086007012.parquet,7,1086007012,i
parquets/1063003003.parquet,3,1063003003,dar
parquets/1057001003.parquet,1,1057001003,nailar
parquets/1111007020.parquet,7,1111007020,información
parquets/1021006003.parquet,6,1021006003,leche
parquets/1070007011.parquet,7,1070007011,invierno
parquets/1007010004.parquet,10,1007010004,colores
parquets/1097007006.parquet,7,1097007006,r
parquets/1054001001.parquet,1,1054001001,aterrizar
parquets/1031001003.parquet,1,1031001003,desayuno
parquets/1068008017.parquet,8,1068008017,biblioteca
parquets/1035005001.parquet,5,1035005001,moneda
parquets/1019005003.parquet,5,1019005003,amargo
parquets/1080007017.parquet,7,1080007017,c
parquets/1015003002.parquet,3,1015003002,nacer
parquets/1043006005.parquet,6,1043006005,trampa
parquets/1015002001.parquet,2,1015002001,nacer
parquets/1085007019.parquet,7,1085007019,h
parquets/1093007013.parquet,7,1093007013,ñ
parquets/1006009003.parquet,9,1006009003,celeste
parquets/1036005004.parquet,5,1036005004,música
parquets/1058008004.parquet,8,1058008004,bañarse
parquets/1052008001.parquet,8,1052008001,apagar
parquets/1018004003.parquet,4,1018004003,espumadora
parquets/1074007015.parquet,7,1074007015,trabajar
parquets/1068007020.parquet,7,1068007020,biblioteca
parquets/1126007019.parquet,7,1126007019,Córdoba
parquets/1028009003.parquet,9,1028009003,donde
parquets/1063005005.parquet,5,1063005005,dar
parquets/1036004003.parquet,4,1036004003,música
parquets/1059006005.parquet,6,1059006005,comprar
parquets/1075008018.parquet,8,1075008018,ingreso
parquets/1011006003.parquet,6,1011006003,hijo
parquets/1093007004.parquet,7,1093007004,ñ
parquets/1063006001.parquet,6,1063006001,dar
parquets/1023004005.parquet,4,1023004005,comida
parquets/1031005005.parquet,5,1031005005,desayuno
parquets/1022006005.parquet,6,1022006005,agua
parquets/1014003005.parquet,3,1014003005,cajón
parquets/1117007001.parquet,7,1117007001,¿Cómo?
parquets/1071007014.parquet,7,1071007014,verano
parquets/1032008002.parquet,8,1032008002,foto
parquets/1056007003.parquet,7,1056007003,ayuda
parquets/1028001003.parquet,1,1028001003,donde
parquets/1055010005.parquet,10,1055010005,atrapar
parquets/1035008002.parquet,8,1035008002,moneda
parquets/1055002004.parquet,2,1055002004,atrapar
parquets/1081007019.parquet,7,1081007019,d
parquets/1043004002.parquet,4,1043004002,trampa
parquets/1008001004.parquet,1,1008001004,rosa
parquets/1033010004.parquet,10,1033010004,hambre
parquets/1041002003.parquet,2,1041002003,perfume
parquets/1004010004.parquet,10,1004010004,amarillo
parquets/1118008014.parquet,8,1118008014,¿Quien?
parquets/1040008005.parquet,8,1040008005,paciencia
parquets/1006002004.parquet,2,1006002004,celeste
parquets/1007002005.parquet,2,1007002005,colores
parquets/1026002002.parquet,2,1026002002,país
parquets/1100007014.parquet,7,1100007014,u
parquets/1125007007.parquet,7,1125007007,pregunta
parquets/1088007005.parquet,7,1088007005,k
parquets/1046004003.parquet,4,1046004003,caramelo
parquets/1049004001.parquet,4,1049004001,yogurt
parquets/1012008001.parquet,8,1012008001,hombre
parquets/1010003003.parquet,3,1010003003,enemigo
parquets/1075008007.parquet,8,1075008007,ingreso
parquets/1033004005.parquet,4,1033004005,hambre
parquets/1037007004.parquet,7,1037007004,nave
parquets/1052005001.parquet,5,1052005001,apagar
parquets/1068008018.parquet,8,1068008018,biblioteca
parquets/1006004004.parquet,4,1006004004,celeste
parquets/1069008017.parquet,8,1069008017,deporte
parquets/1017005002.parquet,5,1017005002,llamar
